entry_time,exit_time,direction,entry,exit,stop,target,atr_at_entry,size,p_l,r_multiple,bars_held,exit_reason,ema50,ema200,rsi,macd,signal
2023-01-02 07:52:00,2023-01-02 07:52:00,buy,1.06820,1.06853,1.06796,1.06853,0.00016,525162.3849,175.00,1.40,1,target,1.06842,1.06833,32.49,-0.000006,0.000009
2023-01-02 15:00:00,2023-01-02 15:06:00,sell,1.06560,1.06577,1.06577,1.06536,0.00012,723517.8275,-125.88,-1.00,7,stop,1.06531,1.06597,83.45,0.000052,0.000035
2023-01-02 15:23:00,2023-01-02 15:25:00,sell,1.06620,1.06594,1.06639,1.06594,0.00012,673185.1355,175.34,1.40,3,target,1.06558,1.06595,79.98,0.000145,0.000139
2023-01-03 08:44:00,2023-01-03 08:45:00,sell,1.05650,1.05692,1.05692,1.05591,0.00028,301597.5004,-126.12,-1.00,2,stop,1.05523,1.05656,72.23,0.000425,0.000430
2023-01-03 10:55:00,2023-01-03 10:58:00,buy,1.05613,1.05559,1.05559,1.05688,0.00036,234485.5298,-125.49,-1.00,4,stop,1.05694,1.05695,29.04,-0.000181,-0.000121
2023-01-03 14:30:00,2023-01-03 14:45:00,sell,1.05613,1.05635,1.05635,1.05582,0.00015,567108.1616,-124.86,-1.00,16,stop,1.05576,1.05608,70.42,0.000088,0.000069
2023-01-03 15:38:00,2023-01-03 15:42:00,buy,1.05588,1.05565,1.05565,1.05620,0.00015,540020.7071,-124.24,-1.00,5,stop,1.05615,1.05617,32.24,-0.000073,-0.000077
2023-01-03 19:23:00,2023-01-03 19:36:00,sell,1.05571,1.05593,1.05593,1.05540,0.00015,567247.8690,-123.62,-1.00,14,stop,1.05510,1.05506,69.05,0.000209,0.000223
2023-01-05 07:43:00,2023-01-05 07:45:00,sell,1.06167,1.06118,1.06202,1.06118,0.00023,351508.9793,172.20,1.40,3,target,1.06113,1.06132,72.50,0.000089,0.000052
2023-01-05 13:21:00,2023-01-05 13:51:00,sell,1.05393,1.05393,1.05393,1.05334,0.00028,295814.8251,0.00,0.00,31,stop,1.05299,1.05500,79.14,0.000191,0.000162
2023-01-09 07:54:00,2023-01-09 08:02:00,buy,1.06861,1.06904,1.06830,1.06904,0.00021,401319.0343,173.41,1.40,9,target,1.06870,1.06688,31.98,0.000007,0.000072
2023-01-09 18:04:00,2023-01-09 18:09:00,sell,1.07345,1.07382,1.07382,1.07293,0.00025,335469.3146,-124.73,-1.00,6,stop,1.07312,1.07339,70.07,0.000029,0.000013
2023-01-09 19:04:00,2023-01-09 19:05:00,sell,1.07372,1.07329,1.07403,1.07329,0.00020,405536.4321,173.75,1.40,2,target,1.07325,1.07334,72.13,0.000010,0.000009
2023-01-10 20:22:00,2023-01-10 20:23:00,buy,1.07304,1.07285,1.07285,1.07330,0.00012,674265.9023,-124.97,-1.00,2,stop,1.07366,1.07374,24.42,-0.000242,-0.000244
2023-01-12 07:27:00,2023-01-12 07:38:00,sell,1.07649,1.07613,1.07674,1.07613,0.00017,488543.8615,174.09,1.40,12,target,1.07628,1.07632,67.20,0.000026,0.000020
2023-01-13 07:18:00,2023-01-13 07:24:00,sell,1.08145,1.08104,1.08174,1.08104,0.00020,426503.5065,175.31,1.40,7,target,1.08151,1.08332,68.10,-0.000051,-0.000080
2023-01-13 08:30:00,2023-01-13 08:31:00,sell,1.08197,1.08135,1.08242,1.08135,0.00030,283287.9511,176.53,1.40,2,target,1.08132,1.08227,67.16,0.000171,0.000155
2023-01-13 10:13:00,2023-01-13 10:33:00,sell,1.08285,1.08175,1.08285,1.08175,0.00052,162259.0357,177.77,1095593806.23,21,target,1.08133,1.08127,68.92,0.000437,0.000446
2023-01-16 09:20:00,2023-01-16 09:24:00,sell,1.08211,1.08238,1.08238,1.08173,0.00018,467608.2620,-127.87,-1.00,5,stop,1.08167,1.08206,73.71,0.000086,0.000059
2023-01-16 10:09:00,2023-01-16 10:17:00,sell,1.08254,1.08213,1.08283,1.08213,0.00019,436628.1652,178.12,1.40,9,target,1.08204,1.08206,67.41,0.000107,0.000102
2023-01-16 17:00:00,2023-01-16 17:20:00,buy,1.08196,1.08175,1.08175,1.08225,0.00014,614035.9971,-128.12,-1.00,10,stop,1.08213,1.08193,31.83,-0.000012,-0.000000
2023-01-17 14:07:00,2023-01-17 14:15:00,sell,1.07956,1.07927,1.07977,1.07927,0.00014,612921.0409,178.47,1.40,9,target,1.07931,1.08119,69.20,0.000148,0.000151
2023-01-17 14:41:00,2023-01-17 14:51:00,sell,1.08028,1.07994,1.08052,1.07994,0.00016,527788.4715,179.72,1.40,11,target,1.07967,1.08089,71.00,0.000167,0.000165
2023-01-18 06:46:00,2023-01-18 06:47:00,buy,1.08275,1.08235,1.08235,1.08330,0.00026,327126.4854,-129.27,-1.00,2,stop,1.08279,1.08071,32.88,-0.000010,-0.000015
2023-01-18 14:59:00,2023-01-18 15:03:00,sell,1.07954,1.07910,1.07985,1.07910,0.00021,410862.1464,180.07,1.40,5,target,1.07917,1.08085,76.74,0.000005,-0.000036
2023-01-19 07:52:00,2023-01-19 07:53:00,buy,1.08142,1.08104,1.08104,1.08195,0.00025,344771.5805,-129.52,-1.00,2,stop,1.08189,1.08116,32.46,-0.000102,-0.000069
2023-01-19 09:19:00,2023-01-19 09:30:00,sell,1.08171,1.08233,1.08233,1.08084,0.00041,208418.4576,-128.88,-1.00,12,stop,1.08101,1.08109,68.21,0.000105,0.000028
2023-01-19 13:21:00,2023-01-19 13:31:00,sell,1.08210,1.08250,1.08250,1.08154,0.00027,318657.9013,-128.23,-1.00,11,stop,1.08089,1.08082,67.13,0.000483,0.000536
