entry_time,exit_time,direction,entry,exit,stop,target,atr_at_entry,size,p_l,r_multiple,bars_held,exit_reason,ema50,ema200,rsi,macd,signal
2023-01-02 07:06:00,2023-01-02 07:06:00,buy,1.06795,1.06837,1.06765,1.06837,0.00020,412090.6452,175.00,1.40,1,target,1.06836,1.06827,20.01,-0.000004,0.000028
2023-01-02 07:52:00,2023-01-02 07:52:00,buy,1.06820,1.06853,1.06796,1.06853,0.00016,529149.4004,176.23,1.40,1,target,1.06842,1.06833,32.50,-0.000006,0.000009
2023-01-02 15:00:00,2023-01-02 15:06:00,sell,1.06560,1.06577,1.06577,1.06536,0.00012,728582.4523,-126.76,-1.00,7,stop,1.06531,1.06597,83.45,0.000052,0.000035
2023-01-02 15:23:00,2023-01-02 15:25:00,sell,1.06620,1.06594,1.06639,1.06594,0.00012,677897.4315,176.57,1.40,3,target,1.06558,1.06595,79.98,0.000145,0.000139
2023-01-02 16:51:00,2023-01-02 16:59:00,buy,1.06602,1.06636,1.06577,1.06636,0.00016,516870.2388,177.81,1.40,9,target,1.06645,1.06627,24.58,-0.000101,-0.000078
2023-01-03 08:44:00,2023-01-03 08:45:00,sell,1.05650,1.05692,1.05692,1.05591,0.00028,305834.6436,-127.89,-1.00,2,stop,1.05523,1.05656,72.23,0.000425,0.000430
2023-01-03 10:55:00,2023-01-03 10:58:00,buy,1.05613,1.05559,1.05559,1.05688,0.00036,237779.8171,-127.25,-1.00,4,stop,1.05694,1.05695,29.04,-0.000181,-0.000121
2023-01-03 14:30:00,2023-01-03 14:45:00,sell,1.05613,1.05635,1.05635,1.05582,0.00015,575075.4642,-126.62,-1.00,16,stop,1.05576,1.05608,70.42,0.000088,0.000069
2023-01-03 15:21:00,2023-01-03 15:23:00,buy,1.05613,1.05582,1.05582,1.05656,0.00021,409489.0174,-125.99,-1.00,3,stop,1.05631,1.05620,28.46,0.000044,0.000078
2023-01-03 15:38:00,2023-01-03 15:42:00,buy,1.05588,1.05565,1.05565,1.05621,0.00016,537970.3356,-125.36,-1.00,5,stop,1.05618,1.05618,31.26,-0.000090,-0.000079
2023-01-03 19:23:00,2023-01-03 19:36:00,sell,1.05571,1.05593,1.05593,1.05540,0.00015,572341.0487,-124.73,-1.00,14,stop,1.05510,1.05506,69.05,0.000209,0.000223
2023-01-04 08:15:00,2023-01-04 08:21:00,buy,1.05974,1.06046,1.05923,1.06046,0.00034,241454.8491,173.75,1.40,7,target,1.06052,1.05942,25.51,-0.000001,0.000066
2023-01-05 07:43:00,2023-01-05 07:45:00,sell,1.06167,1.06118,1.06202,1.06118,0.00023,357147.7480,174.96,1.40,3,target,1.06113,1.06132,72.50,0.000089,0.000052
2023-01-05 13:21:00,2023-01-05 13:51:00,sell,1.05393,1.05393,1.05393,1.05334,0.00028,300560.1701,0.00,0.00,31,stop,1.05299,1.05500,79.14,0.000191,0.000162
2023-01-05 20:34:00,2023-01-05 20:53:00,buy,1.05232,1.05262,1.05232,1.05262,0.00014,594163.0075,176.19,296531495.61,20,target,1.05266,1.05253,23.19,-0.000083,-0.000072
2023-01-09 07:54:00,2023-01-09 08:02:00,buy,1.06861,1.06904,1.06830,1.06904,0.00021,410611.1341,177.42,1.40,9,target,1.06870,1.06688,31.98,0.000007,0.000072
2023-01-09 18:04:00,2023-01-09 18:09:00,sell,1.07345,1.07382,1.07382,1.07293,0.00025,343236.7367,-127.62,-1.00,6,stop,1.07312,1.07339,70.07,0.000029,0.000013
2023-01-09 19:04:00,2023-01-09 19:05:00,sell,1.07372,1.07329,1.07403,1.07329,0.00020,414926.1811,177.77,1.40,2,target,1.07325,1.07334,72.13,0.000010,0.000009
2023-01-10 15:40:00,2023-01-10 15:40:00,buy,1.07363,1.07340,1.07340,1.07396,0.00016,547020.8262,-127.87,-1.00,1,stop,1.07400,1.07373,24.16,-0.000028,0.000002
2023-01-10 20:22:00,2023-01-10 20:23:00,buy,1.07304,1.07285,1.07285,1.07330,0.00012,686428.3970,-127.23,-1.00,2,stop,1.07366,1.07374,24.42,-0.000242,-0.000244
