entry_time,exit_time,direction,entry,exit,stop,target,atr_at_entry,size,p_l,r_multiple,bars_held,exit_reason,ema50,ema200,rsi,macd,signal
2023-01-02 07:52:00,2023-01-02 07:52:00,buy,1.06820,1.06853,1.06796,1.06853,0.00016,525162.3849,175.00,1.40,1,target,1.06842,1.06833,32.49,-0.000006,0.000009
2023-01-02 15:00:00,2023-01-02 15:04:00,sell,1.06560,1.06560,1.06560,1.06536,0.00012,723517.8413,0.00,0.00,5,stop,1.06530,1.06562,83.45,0.000052,0.000035
2023-01-02 15:23:00,2023-01-02 15:25:00,sell,1.06620,1.06593,1.06620,1.06593,0.00013,651123.8760,176.23,270647424.40,3,target,1.06559,1.06566,79.17,0.000139,0.000134
2023-01-03 10:55:00,2023-01-03 10:56:00,buy,1.05613,1.05613,1.05613,1.05688,0.00036,236848.0894,0.00,0.00,2,stop,1.05694,1.05695,29.04,-0.000181,-0.000121
2023-01-03 13:26:00,2023-01-03 13:27:00,sell,1.05486,1.05511,1.05511,1.05451,0.00017,502278.2003,-126.76,-1.00,2,stop,1.05468,1.05532,67.86,0.000006,-0.000013
2023-01-03 15:58:00,2023-01-03 16:01:00,buy,1.05522,1.05497,1.05497,1.05556,0.00016,514099.7584,-126.12,-1.00,4,stop,1.05581,1.05582,27.16,-0.000172,-0.000161
2023-01-04 13:23:00,2023-01-04 13:27:00,buy,1.06046,1.06010,1.06010,1.06097,0.00024,345849.6364,-125.49,-1.00,5,stop,1.06103,1.06088,31.54,-0.000129,-0.000096
2023-01-05 07:43:00,2023-01-05 07:45:00,sell,1.06167,1.06118,1.06167,1.06118,0.00023,356834.7831,174.81,489890537.26,3,target,1.06113,1.06132,72.50,0.000089,0.000052
2023-01-05 11:30:00,2023-01-05 11:35:00,sell,1.05311,1.05243,1.05311,1.05243,0.00032,260516.9625,176.03,675708989.44,6,target,1.05260,1.05467,71.69,0.000100,0.000058
2023-01-05 12:25:00,2023-01-05 12:32:00,sell,1.05296,1.05239,1.05296,1.05239,0.00027,311869.8069,177.27,568397084.63,8,target,1.05230,1.05372,73.62,0.000078,0.000037
2023-01-05 12:43:00,2023-01-05 12:46:00,sell,1.05287,1.05321,1.05321,1.05239,0.00023,374503.2867,-127.50,-1.00,4,stop,1.05235,1.05359,67.42,0.000099,0.000058
2023-01-05 13:01:00,2023-01-05 13:03:00,sell,1.05317,1.05317,1.05317,1.05268,0.00023,362612.7827,0.00,0.00,3,stop,1.05258,1.05350,68.38,0.000143,0.000132
2023-01-05 13:21:00,2023-01-05 13:21:00,sell,1.05393,1.05335,1.05434,1.05335,0.00027,307948.7758,177.61,1.40,1,target,1.05288,1.05345,79.38,0.000147,0.000128
2023-01-09 07:54:00,2023-01-09 07:57:00,buy,1.06861,1.06861,1.06861,1.06904,0.00021,413934.8659,0.00,0.00,4,stop,1.06870,1.06703,31.98,0.000007,0.000072
