entry_time,exit_time,direction,entry,exit,stop,target,atr_at_entry,size,p_l,r_multiple,bars_held,exit_reason,ema50,ema200,rsi,macd,signal
2023-01-02 07:52:00,2023-01-02 07:52:00,buy,1.06820,1.06853,1.06796,1.06853,0.00016,525162.3849,175.00,1.40,1,target,1.06842,1.06833,32.49,-0.000006,0.000009
2023-01-02 15:00:00,2023-01-02 15:04:00,sell,1.06560,1.06560,1.06560,1.06536,0.00012,723517.8275,0.00,0.00,5,stop,1.06531,1.06597,83.45,0.000052,0.000035
2023-01-02 15:23:00,2023-01-02 15:25:00,sell,1.06620,1.06593,1.06620,1.06593,0.00013,651123.8751,176.22,270647424.76,3,target,1.06559,1.06595,79.17,0.000139,0.000134
2023-01-03 08:44:00,2023-01-03 08:45:00,sell,1.05650,1.05692,1.05692,1.05591,0.00028,303113.0657,-126.76,-1.00,2,stop,1.05523,1.05656,72.23,0.000425,0.000430
2023-01-03 10:55:00,2023-01-03 10:56:00,buy,1.05613,1.05613,1.05613,1.05688,0.00036,235663.8491,0.00,0.00,2,stop,1.05694,1.05695,29.04,-0.000181,-0.000121
2023-01-03 14:30:00,2023-01-03 14:31:00,sell,1.05613,1.05613,1.05613,1.05582,0.00015,572821.8270,0.00,0.00,2,stop,1.05576,1.05607,70.42,0.000088,0.000069
2023-01-03 15:38:00,2023-01-03 15:42:00,buy,1.05588,1.05565,1.05565,1.05620,0.00015,548152.9980,-126.12,-1.00,5,stop,1.05617,1.05616,32.23,-0.000075,-0.000081
2023-01-03 19:23:00,2023-01-03 19:31:00,sell,1.05571,1.05571,1.05571,1.05540,0.00015,575842.3886,0.00,0.00,9,stop,1.05510,1.05506,69.05,0.000209,0.000223
2023-01-05 07:43:00,2023-01-05 07:45:00,sell,1.06167,1.06118,1.06167,1.06118,0.00023,358627.9227,175.69,489890537.26,3,target,1.06113,1.06132,72.50,0.000089,0.000052
2023-01-05 13:21:00,2023-01-05 13:22:00,sell,1.05393,1.05393,1.05393,1.05334,0.00028,301805.8214,0.00,0.00,2,stop,1.05299,1.05500,79.14,0.000191,0.000162
2023-01-09 07:54:00,2023-01-09 07:57:00,buy,1.06861,1.06861,1.06861,1.06904,0.00021,409446.7569,0.00,0.00,4,stop,1.06870,1.06688,31.98,0.000007,0.000072
2023-01-09 18:04:00,2023-01-09 18:09:00,sell,1.07345,1.07382,1.07382,1.07293,0.00025,339884.2247,-126.37,-1.00,6,stop,1.07312,1.07339,70.07,0.000029,0.000013
2023-01-09 19:04:00,2023-01-09 19:05:00,sell,1.07372,1.07329,1.07403,1.07329,0.00020,410873.4534,176.03,1.40,2,target,1.07325,1.07334,72.13,0.000010,0.000009
2023-01-10 20:22:00,2023-01-10 20:23:00,buy,1.07304,1.07285,1.07285,1.07330,0.00012,683139.5108,-126.62,-1.00,2,stop,1.07366,1.07374,24.42,-0.000242,-0.000244
2023-01-12 07:27:00,2023-01-12 07:38:00,sell,1.07649,1.07613,1.07649,1.07613,0.00017,494973.2938,176.38,356341567.95,12,target,1.07628,1.07632,67.20,0.000026,0.000020
2023-01-13 07:18:00,2023-01-13 07:24:00,sell,1.08145,1.08104,1.08145,1.08104,0.00020,432116.4629,177.61,411033209.25,7,target,1.08151,1.08332,68.10,-0.000051,-0.000080
2023-01-13 08:30:00,2023-01-13 08:31:00,sell,1.08197,1.08135,1.08197,1.08135,0.00030,287016.1337,178.86,623161889.04,2,target,1.08132,1.08227,67.16,0.000171,0.000155
2023-01-13 10:13:00,2023-01-13 10:33:00,sell,1.08285,1.08175,1.08285,1.08175,0.00052,164394.4294,180.11,1095593806.23,21,target,1.08133,1.08127,68.92,0.000437,0.000446
2023-01-16 09:20:00,2023-01-16 09:21:00,sell,1.08211,1.08211,1.08211,1.08173,0.00018,473762.1734,0.00,0.00,2,stop,1.08167,1.08206,73.71,0.000086,0.000059
2023-01-16 10:09:00,2023-01-16 10:17:00,sell,1.08254,1.08213,1.08254,1.08213,0.00019,444586.3425,181.37,407952894.53,9,target,1.08205,1.08207,67.40,0.000104,0.000098
2023-01-16 17:00:00,2023-01-16 17:20:00,buy,1.08196,1.08196,1.08196,1.08225,0.00014,625243.1718,0.00,0.00,10,stop,1.08213,1.08193,31.83,-0.000012,-0.000000
2023-01-17 14:07:00,2023-01-17 14:11:00,sell,1.07956,1.07956,1.07956,1.07927,0.00014,627244.0863,0.00,0.00,5,stop,1.07931,1.08119,69.20,0.000148,0.000151
2023-01-17 14:41:00,2023-01-17 14:51:00,sell,1.08028,1.07994,1.08028,1.07994,0.00016,533037.5369,182.64,342639804.17,11,target,1.07968,1.08084,71.10,0.000162,0.000157
2023-01-18 06:46:00,2023-01-18 06:47:00,buy,1.08275,1.08235,1.08235,1.08330,0.00026,332443.8338,-131.37,-1.00,2,stop,1.08279,1.08071,32.88,-0.000010,-0.000015
2023-01-18 14:59:00,2023-01-18 15:03:00,sell,1.07954,1.07910,1.07954,1.07910,0.00021,417540.5943,183.00,438277779.73,5,target,1.07917,1.08085,76.74,0.000005,-0.000036
2023-01-19 07:52:00,2023-01-19 07:53:00,buy,1.08142,1.08104,1.08104,1.08195,0.00025,350375.7450,-131.63,-1.00,2,stop,1.08189,1.08116,32.46,-0.000102,-0.000069
2023-01-19 09:19:00,2023-01-19 09:30:00,sell,1.08171,1.08233,1.08233,1.08084,0.00041,211806.2407,-130.97,-1.00,12,stop,1.08101,1.08109,68.21,0.000105,0.000028
2023-01-19 13:21:00,2023-01-19 13:31:00,sell,1.08210,1.08250,1.08250,1.08154,0.00027,323837.5953,-130.32,-1.00,11,stop,1.08089,1.08082,67.13,0.000483,0.000536
2023-01-23 07:22:00,2023-01-23 07:23:00,buy,1.08700,1.08746,1.08667,1.08746,0.00022,391032.0998,181.53,1.40,2,target,1.08772,1.08690,32.45,-0.000222,-0.000214
2023-01-23 14:39:00,2023-01-23 14:43:00,buy,1.08594,1.08594,1.08594,1.08627,0.00016,554235.3233,0.00,0.00,5,stop,1.08639,1.08638,30.66,-0.000097,-0.000089
2023-01-23 15:19:00,2023-01-23 15:26:00,sell,1.08630,1.08589,1.08630,1.08589,0.00020,443625.6933,182.80,412059233.39,8,target,1.08596,1.08619,68.82,0.000087,0.000049
2023-01-24 08:17:00,2023-01-24 08:22:00,sell,1.08634,1.08674,1.08674,1.08578,0.00027,330544.4631,-131.49,-1.00,6,stop,1.08628,1.08672,68.15,-0.000134,-0.000190
2023-01-25 07:12:00,2023-01-25 07:22:00,sell,1.08678,1.08639,1.08678,1.08639,0.00019,470331.7022,183.16,389425727.32,11,target,1.08649,1.08748,70.60,0.000057,0.000040
